Amount,Date,Recipient
$114.00,11/25/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,10/28/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$171.00,9/30/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,8/19/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,7/22/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,6/24/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,5/27/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$171.00,4/29/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,3/18/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,2/18/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$171.00,12/23/2020,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$171.00,11/12/2010,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,10/1/2010,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,9/17/2010,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,8/20/2010,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,7/23/2010,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,6/25/2010,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$78.84,5/28/2010,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,4/30/2010,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,3/19/2010,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/24/2009,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,11/30/2009,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,10/31/2009,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,9/30/2009,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
